strain,date,DaysSinceRoot,Mutations
NZL/20VR2528/2020,3/25/20,90,5
NZL/20VR2733/2020,3/26/20,91,5
NZL/20VR2931/2020,4/25/20,121,8
NZL/20VR3494/2020,6/20/20,177,13
NZL/20VR3879/2020,7/23/20,210,15
NZL/21CH0097/2021,8/18/21,601,37
NZL/21CV0006/2021,1/1/21,372,34
NZL/21CV0420/2021,9/1/21,615,35
NZL/21MV0032/2021,1/28/21,399,29
NZL/21MV0222/2021,3/28/21,458,34
NZL/21MV0607/2021,7/16/21,568,33
NZL/21MV0781/2021,8/19/21,602,35
NZL/21MV1215/2021,8/29/21,612,36
NZL/21MV1650/2021,9/19/21,633,35
NZL/21MV1810/2021,9/30/21,644,36
NZL/21MV2542/2021,10/25/21,669,37
NZL/21MV2939/2021,11/7/21,682,38
NZL/21MV3377/2021,12/1/21,706,37
ON929905,2/19/22,786,59
ON929908,2/20/22,787,78
ON929913,2/22/22,789,78
ON929918,4/3/22,829,73
ON929921,3/29/22,824,74
ON929922,5/31/22,887,82
ON929930,6/5/22,892,86
ON929934,6/6/22,893,80
ON929940,6/8/22,895,81
ON929941,6/8/22,895,81
ON929943,6/9/22,896,75
ON929947,6/13/22,900,84
ON929952,6/13/22,900,80
ON929956,6/14/22,901,84
ON929960,6/14/22,901,88
ON929963,6/14/22,901,86
ON929964,6/14/22,901,85
OU026734,2/15/21,417,27
OU026759,3/1/21,431,36
OU076996,9/10/20,259,18
OU078347,1/28/21,399,24
OU132136,4/14/21,475,37
OU470954,5/18/21,509,38
OU471049,4/20/21,481,32
OU471058,4/20/21,481,34
OU471303,7/21/21,573,43
OU471335,7/21/21,573,34
OU471669,3/2/21,432,34
OU475070,5/5/21,496,38
OU799845,5/1/20,127,8
OV009565,8/23/20,241,9
OV044757,3/23/20,88,5
OV064962,3/30/20,95,8
OV081851,5/12/20,138,6
OV104007,2/9/21,411,41
OV104690,3/15/21,445,36
OV110683,10/26/20,305,34
OV111693,10/27/20,306,38
OV211267,10/14/21,658,37
OV651598,12/11/21,716,45
OV660617,12/28/21,733,57
OV788912,1/26/22,762,56
OV788963,1/26/22,762,57
OV923645,2/16/22,783,58
OW091934,1/17/22,753,57
OW111392,1/13/22,749,60
OW111655,1/25/22,761,53
OW111932,1/25/22,761,53
OW119974,1/28/22,764,58
OW120092,1/30/22,766,63
OW120279,1/23/22,759,46
OW120345,1/27/22,763,81
OW120360,1/24/22,760,57
OW120483,1/25/22,761,56
OW120617,1/18/22,754,63
OW120866,1/20/22,756,59
OW120934,1/31/22,767,57
OW121017,2/7/22,774,57
OW121455,2/8/22,775,64
OW121461,1/28/22,764,62
OW121969,2/2/22,769,57
OW122667,2/1/22,768,58
OW123169,2/8/22,775,58
OW123445,2/24/22,791,79
OW140496,2/20/22,787,58
OW140628,2/17/22,784,60
OW173465,2/20/22,787,59
OW179082,2/23/22,790,60
OW179677,2/20/22,787,56
OW179983,2/20/22,787,59
OW215257,3/4/22,799,79
OW270802,2/24/22,791,58
OW272301,3/21/22,816,76
OW322177,3/16/22,811,82
OW363824,3/14/22,809,80
OW384924,3/14/22,809,77
OW428121,3/30/22,825,61
OW431637,3/20/22,815,59
OW443220,3/26/22,821,78
OW450019,3/15/22,810,59
OW458724,1/27/22,763,58
OW461294,1/22/22,758,58
OW461860,2/16/22,783,62
OW476173,3/22/22,817,73
OW477369,1/18/22,754,61
OW483389,3/20/22,815,74
OW483681,2/17/22,784,58
OW498991,1/26/22,762,56
OW509289,1/18/22,754,56
OW510318,1/26/22,762,58
OW513139,2/3/22,770,54
OW515087,1/20/22,756,57
OW515698,2/17/22,784,57
OW517332,3/17/22,812,75
OW521072,2/23/22,790,60
OW523057,3/13/22,808,61
OW523978,3/20/22,815,76
OW524116,2/6/22,773,76
OW524797,3/20/22,815,76
OW524813,3/21/22,816,77
OW570023,3/15/22,810,60
OW571630,4/6/22,832,76
OW574208,4/3/22,829,76
OW576577,4/2/22,828,78
OW582286,4/12/22,838,77
OW586144,2/25/22,792,79
OW589820,2/14/22,781,57
OW594677,3/25/22,820,65
OW596153,3/5/22,800,58
OW608009,3/11/22,806,79
OW617482,4/8/22,834,59
OW620567,4/8/22,834,78
OW625540,3/29/22,824,76
OW625646,4/7/22,833,76
OW635523,4/6/22,832,80
OW636213,3/24/22,819,78
OW636674,4/6/22,832,79
OW637125,4/1/22,827,57
OW640698,4/10/22,836,78
OW641926,3/25/22,820,77
OW642034,4/13/22,839,82
OW652948,4/4/22,830,79
OW654244,1/24/22,760,56
OW655340,1/21/22,757,55
OW656878,4/8/22,834,79
OW657792,4/6/22,832,77
OW661872,1/20/22,756,57
OW662570,3/22/22,817,76
OW664114,3/3/22,798,76
OW664944,3/22/22,817,77
OW676502,1/21/22,757,78
OW700455,3/10/22,805,73
OW718264,3/30/22,825,76
OW737030,4/21/22,847,82
OW771922,1/26/22,762,76
OW771964,1/26/22,762,61
OW771969,1/18/22,754,57
OW773058,1/27/22,763,55
OW774276,1/25/22,761,56
OW783149,4/20/22,846,77
OW784834,1/20/22,756,58
OW788274,2/3/22,770,76
OW791051,4/19/22,845,81
OW791122,1/25/22,761,57
OW791849,2/1/22,768,57
OW792824,2/2/22,769,57
OW792949,1/26/22,762,59
OW794965,1/31/22,767,56
OW798807,4/19/22,845,74
OW800518,1/18/22,754,76
OW801696,2/3/22,770,57
OW801806,1/18/22,754,77
OW804205,3/30/22,825,82
OW806115,4/1/22,827,76
OW808181,3/31/22,826,77
OW808291,4/1/22,827,77
OW814142,2/4/22,771,59
OW818434,4/19/22,845,79
OW818546,4/21/22,847,77
OW818594,4/19/22,845,77
OW849864,5/1/22,857,79
OW857251,1/18/22,754,57
OW858462,2/6/22,773,59
OW859759,2/3/22,770,57
OW861758,2/3/22,770,57
OW871713,2/8/22,775,60
OW902926,2/26/22,793,76
OW955508,1/18/22,754,75
OW958929,1/24/22,760,77
OW959311,1/18/22,754,76
OW960606,2/16/22,783,61
OW963314,1/29/22,765,76
OW965663,1/30/22,766,77
OW966087,1/30/22,766,76
OW970040,1/30/22,766,77
OW982015,5/6/22,862,59
OW989526,1/24/22,760,76
OW991283,2/5/22,772,76
OW993546,4/4/22,830,77
OW993734,1/23/22,759,79
OW994459,2/11/22,778,59
OW999140,4/28/22,854,78
OX004184,2/14/22,781,77
OX004982,4/22/22,848,81
OX008283,5/2/22,858,81
OX008350,5/6/22,862,76
OX012033,2/9/22,776,76
OX015518,5/2/22,858,78
OX015610,5/9/22,865,82
OX038942,5/16/22,872,78
OX049429,5/11/22,867,83
OX049520,5/9/22,865,80
OX049570,5/20/22,876,76
OX049579,4/27/22,853,79
OX049625,5/19/22,875,80
OX049642,5/6/22,862,83
OX066276,4/21/22,847,74
OX068478,3/9/22,804,64
OX070019,1/21/22,757,57
OX071156,2/24/22,791,58
OX071258,2/4/22,771,61
OX072505,4/4/22,830,76
OX072698,3/10/22,805,59
OX073991,3/17/22,812,79
OX074025,5/2/22,858,79
OX074039,3/17/22,812,77
OX074334,4/6/22,832,74
OX075493,3/15/22,810,76
OX075903,4/8/22,834,78
OX078154,1/27/22,763,75
OX079447,4/7/22,833,78
OX079453,3/3/22,798,76
OX079545,5/12/22,868,83
OX079551,4/5/22,831,77
OX079882,2/24/22,791,74
OX080374,5/1/22,857,78
OX081807,2/25/22,792,57
OX082293,3/21/22,816,77
OX083222,3/12/22,807,78
OX083255,1/18/22,754,59
OX084253,2/8/22,775,54
OX084370,5/6/22,862,77
OX084571,5/4/22,860,76
OX085060,4/1/22,827,79
OX085607,5/4/22,860,77
OX086638,5/8/22,864,77
OX088152,4/7/22,833,79
OX088636,2/4/22,771,58
OX088637,4/26/22,852,78
OX089758,5/17/22,873,84
OX090133,3/24/22,819,76
OX090418,4/1/22,827,78
OX101306,5/23/22,879,84
OX101616,5/27/22,883,81
OX101624,5/30/22,886,83
OX101630,5/24/22,880,83
OX126124,6/2/22,889,80
OX148124,6/13/22,900,79
OX152091,6/3/22,890,79
OX152094,6/2/22,889,88
OX153032,6/3/22,890,79
OX153091,5/26/22,882,79
OX153407,6/1/22,888,79
OX153615,6/4/22,891,80
OX177190,6/11/22,898,84
OX177741,6/8/22,895,86
OX177746,6/7/22,894,84
OX177753,6/8/22,895,85
OX178710,6/12/22,899,80
OX178741,6/18/22,905,82
OX179501,6/15/22,902,87
OX179571,6/11/22,898,80
OX179605,6/17/22,904,83
OX179778,6/10/22,897,82
OX211732,6/7/22,894,83
OX211910,6/6/22,893,80
OX211916,6/22/22,909,81
OX211920,6/7/22,894,84
OX211923,6/2/22,889,78
OX211963,6/6/22,893,81
OX212231,6/7/22,894,76
OX212709,6/24/22,911,81
OX212902,5/16/22,872,76
OX213941,6/4/22,891,76
OX215849,6/3/22,890,75
OX216278,6/5/22,892,81
OX216461,6/4/22,891,84
OX217971,6/13/22,900,81
OX218340,6/19/22,906,81
OX219617,6/18/22,905,83
OX220005,6/16/22,903,80
OX220758,6/14/22,901,80
OX221090,6/17/22,904,78
OX221553,7/3/22,920,86
OX221712,6/30/22,917,86
OX221823,6/30/22,917,86
OX221945,7/1/22,918,81
OX221993,7/2/22,919,83
OX224352,6/27/22,914,85
OX225463,6/30/22,917,83
OX225634,7/2/22,919,82
OX226144,7/5/22,922,84
OX226325,7/2/22,919,86
OX226395,7/1/22,918,83
OX226423,7/3/22,920,83
OX226718,7/1/22,918,81
OX227347,7/1/22,918,83
OX227365,7/2/22,919,83
OX227503,7/5/22,922,84
OX229481,6/26/22,913,84
OX229649,7/5/22,922,84
OX230405,7/1/22,918,84
OX230929,7/1/22,918,88
OX231019,7/1/22,918,84
OX231231,7/4/22,921,83
OX231638,7/4/22,921,82
OX231753,7/4/22,921,84
OX231769,7/3/22,920,79
OX232149,7/4/22,921,86
OX232264,6/26/22,913,85
OX232632,7/3/22,920,81
OX232709,7/4/22,921,85
OX232716,7/4/22,921,79
OX233469,7/5/22,922,83
OX233485,7/4/22,921,85
OX233878,7/5/22,922,80
PAK/23268/2022,1/19/22,755,53
PAK/23701/2022,1/20/22,756,58
PAK/24314/2022,1/20/22,756,57
PAK/244252/2021,10/10/21,654,46
PAK/24990/2022,1/20/22,756,58
PAK/25192/2022,1/20/22,756,55
PAK/25233/2022,1/20/22,756,57
PAK/26126/2022,1/21/22,757,55
PAK/38180/2022,2/3/22,770,58
PAK/38618/2022,2/4/22,771,75
PAK/39882/2022,2/6/22,773,61
PAK/39960/2022,2/6/22,773,58
PAK/41804/2022,2/9/22,776,60
PAK/42535/2022,2/11/22,778,73
PAK/43873/2022,2/14/22,781,75
PAK/43892/2022,2/14/22,781,76
PAK/43943/2022,2/14/22,781,73
PAK/GL-NIBD-04/2020,10/15/20,294,26
PAK/IoM-I/2021,1/7/21,378,19
PAK/JRCGR_KHI_SCV-122/2021,8/27/21,610,38
PAK/JRCGR_KHI_SCV-185/2022,1/6/22,742,56
PAK/JRCGR_SCV-68/2020,11/21/20,331,30
PAK/JRCGR_SCV-88_LHR-05/2021,3/9/21,439,34
Pakistan/UHS2-Pak-32/2021,5/28/21,519,31
Pakistan/UHS2-Pak-86/2021,6/1/21,523,31
PER/ABP0003/2022,1/21/22,757,57
PER/ABP0007/2022,1/21/22,757,54
PER/ABP0008/2022,1/19/22,755,56
PER/ABP0009/2022,1/21/22,757,56
PER/ABP0010/2022,1/20/22,756,55
PER/ABP0012/2022,1/18/22,754,60
PER/AFI00996/2021,6/25/21,547,42
PER/CF00800-SW-V0101/2021,8/4/21,587,30
PER/covper020/2020,7/3/20,190,10
PER/covper033/2020,5/4/20,130,13
PER/covper048/2020,6/24/20,181,11
PER/covper055/2020,4/1/20,97,9
PER/covper069/2020,3/18/20,83,8
PER/LIM-INS-173/2020,12/31/20,371,31
PER/LSP0904/2022,1/11/22,747,55
PER/un-CDC-3958043-001/2020,8/20/20,238,18
PER/un-CDC-3958735-001/2020,9/10/20,259,12
PER/un-CDC-4033329-001/2020,10/5/20,284,18
PER/un-CDC-4051692-001/2021,2/20/21,422,28
PER/UPCH_cov0434/2021,1/30/21,401,29
PER/UPCH_cov0468/2021,3/8/21,438,33
Peru/PE-LMA-UW21070382842/2021,7/3/21,555,34
Peru/PE-LMA-UW21112340735/2021,11/23/21,698,41
Peru/PE-LMA-UW21122144710/2021,12/21/21,726,62
PHL/COVID52511/2021,3/18/21,448,33
PHL/COVID58236/2021,4/7/21,468,32
PHL/GS/2020,4/3/20,99,6
PHL/PH-PGC-00317/2020,12/29/20,369,32
PHL/PH-PGC-00401/2020,12/10/20,350,32
PLW/PW-CDC-2-5064370/2021,8/20/21,603,38
POL/PL_MCB_57/2020,6/6/20,163,13
POL/PL_MCB_83/2020,6/6/20,163,8
PRI/PR-UPRRP-5822/2022,3/31/22,826,79
PRT/PT_CBR_263811/2021,11/25/21,700,39
PRT/PT_CBR_269681/2021,12/5/21,710,40
PRY/202102814_631750/2021,1/31/21,402,17
PRY/202102841_29703/2021,2/22/21,424,27
PRY/202102940_62245/2021,3/20/21,450,36
PRY/202102946_91552/2021,4/16/21,477,38
PRY/WOR12903A600_202103266_2-4710511/2020,3/8/20,73,6
PRY/WOR12903A601_202103347_2-4710512/2021,5/31/21,522,37
PRY/WOR12903A606_202103291_2-4710517/2020,7/12/20,199,12
PRY/WOR12903A643_202103289_2-4710604/2020,6/19/20,176,14
PRY/WOR12903A659_202103274_2-4710620/2020,4/9/20,105,7
PRY/WOR12903A667_202103294_2-4710628/2020,8/3/20,221,15
PRY/WOR12903A668_202103302_2-4710629/2020,12/30/20,370,22
PRY/WOR12903A814_202103393_202103393_2-4740112/2021,6/18/21,540,42
PRY/WOR12903A857_202103447_202103447_2-4754115/2021,7/7/21,559,42
ROU/84/2021,7/13/21,565,37
ROU/TT648/2021,7/13/21,565,40
RUS/1011/2020,4/11/20,107,7
RUS/2272/2020,7/28/20,215,13
RUS/4460/2020,12/1/20,341,27
RUS/Altufjevo/2022,1/25/22,761,63
RUS/LIA/2022,1/27/22,763,59
RUS/Otradnoe/2022,1/25/22,761,62
RUS/RU-Sar-2790/2021,8/27/21,610,33
SAU/509/2020,2/9/20,45,10
SAU/KAIMRC-S203/2020,12/5/20,345,19
SAU/KAIMRC-S831/2021,4/4/21,465,33
SAU/KAIMRC-S837/2021,4/6/21,467,37
Serbia/UHB-43087878/2021,10/5/21,649,33
SGP/PB_D48/2021,12/30/21,735,45
SGP/SNDE2/2021,10/27/21,671,45
SLE/nmimr-SLE-SARS-CoV-2-SLSEQ028/2021,2/2/21,404,21
SLE/nmimr-SLE-SARS-CoV-2-SLSEQ029/2021,2/1/21,403,24
SLE/nmimr-SLE-SARS-CoV-2-SLSEQ059/2021,1/25/21,396,23
SLE/nmimr-SLE-SARS-CoV-2-SLSEQ073/2021,2/5/21,407,24
SLE/SL17/2021,1/15/21,386,24
SLE/SL21/2021,1/14/21,385,27
SLE/SL34/2021,6/7/21,529,31
SOM/NAMRU3_Mog_32/2021,2/28/21,430,39
SOM/NAMRU3_Mog_54/2021,2/28/21,430,26
SouthAfrica/NHLS-UCT-GP-5023/2020,4/15/20,111,8
SouthAfrica/NHLS-UCT-GP-5032/2020,4/16/20,112,4
SouthAfrica/NHLS-UCT-GP-N655/2022,1/19/22,755,55
SouthAfrica/NHLS-UCT-GP-N659/2022,1/19/22,755,53
SouthAfrica/NHLS-UCT-GP-N665/2022,1/18/22,754,56
SouthAfrica/NHLS-UCT-GP-N669/2022,1/20/22,756,75
SouthAfrica/NHLS-UCT-GP-N741/2022,1/20/22,756,55
SouthAfrica/NHLS-UCT-GP-N810/2022,1/24/22,760,56
SouthAfrica/NHLS-UCT-GP-N811/2022,1/24/22,760,55
SouthAfrica/NHLS-UCT-GP-N812/2022,1/25/22,761,56
SouthAfrica/NHLS-UCT-GP-N819/2022,1/24/22,760,57
SouthAfrica/NHLS-UCT-GP-N820/2022,1/24/22,760,59
SouthAfrica/NHLS-UCT-GP-N824/2022,1/27/22,763,53
SouthAfrica/NHLS-UCT-GP-N825/2022,1/28/22,764,77
SouthAfrica/NHLS-UCT-GP-N826/2022,1/25/22,761,73
SouthAfrica/NHLS-UCT-GP-N827/2022,1/28/22,764,59
SouthAfrica/NHLS-UCT-GP-N829/2022,1/28/22,764,73
SouthAfrica/NHLS-UCT-GP-N831/2022,1/24/22,760,73
SouthAfrica/NHLS-UCT-GP-N832/2022,1/26/22,762,57
SouthAfrica/NHLS-UCT-GP-N833/2022,1/26/22,762,55
SouthAfrica/NHLS-UCT-GP-N835/2022,1/30/22,766,75
SouthAfrica/NHLS-UCT-GP-N837/2022,1/31/22,767,54
SouthAfrica/NHLS-UCT-GP-N839/2022,1/31/22,767,56
SouthAfrica/NHLS-UCT-GP-N840/2022,1/31/22,767,74
SouthAfrica/NHLS-UCT-GP-N842/2022,1/31/22,767,54
SouthAfrica/NHLS-UCT-GP-N846/2022,2/1/22,768,70
SouthAfrica/NHLS-UCT-GP-N852/2022,2/4/22,771,76
SouthAfrica/NHLS-UCT-GP-N853/2022,2/4/22,771,74
SouthAfrica/NHLS-UCT-GP-O019/2022,2/15/22,782,60
SouthAfrica/NHLS-UCT-GP-O024/2022,2/14/22,781,75
SouthAfrica/NHLS-UCT-GP-O028/2022,2/17/22,784,73
SouthAfrica/NHLS-UCT-GP-O031/2022,2/17/22,784,77
SouthAfrica/NHLS-UCT-GP-O033/2022,2/16/22,783,76
SouthAfrica/NHLS-UCT-GP-O040/2022,2/21/22,788,77
SouthAfrica/NHLS-UCT-GP-O041/2022,2/23/22,790,76
SouthAfrica/NHLS-UCT-GP-O042/2022,2/24/22,791,79
SouthAfrica/NHLS-UCT-GP-O049/2022,2/23/22,790,56
SouthAfrica/NHLS-UCT-GP-O239/2022,2/28/22,795,64
SouthAfrica/NHLS-UCT-GP-O243/2022,3/3/22,798,76
SouthAfrica/NHLS-UCT-GP-O245/2022,3/1/22,796,77
SouthAfrica/NHLS-UCT-GP-O248/2022,3/1/22,796,75
SouthAfrica/NHLS-UCT-GP-O251/2022,3/11/22,806,77
SouthAfrica/NHLS-UCT-GP-O259/2022,3/9/22,804,77
SouthAfrica/NHLS-UCT-GP-O264/2022,3/11/22,806,75
SouthAfrica/NHLS-UCT-GP-O265/2022,3/9/22,804,73
SouthAfrica/NHLS-UCT-GP-O270/2022,3/9/22,804,76
SouthAfrica/NHLS-UCT-GP-O539/2022,3/16/22,811,77
SouthAfrica/NHLS-UCT-GP-O544/2022,3/18/22,813,77
SouthAfrica/NHLS-UCT-GP-O553/2022,3/14/22,809,77
SouthAfrica/NHLS-UCT-GP-O559/2022,3/25/22,820,76
SouthAfrica/NHLS-UCT-GP-O567/2022,3/22/22,817,77
SouthAfrica/NHLS-UCT-GP-O568/2022,3/24/22,819,75
SouthAfrica/NHLS-UCT-GP-O569/2022,3/23/22,818,78
SouthAfrica/NHLS-UCT-GP-O573/2022,3/22/22,817,72
SouthAfrica/NHLS-UCT-GP-O575/2022,3/23/22,818,35
SouthAfrica/NHLS-UCT-GP-O578/2022,3/24/22,819,79
SouthAfrica/NHLS-UCT-GP-O579/2022,3/23/22,818,79
SouthAfrica/NHLS-UCT-GP-O583/2022,3/31/22,826,73
SouthAfrica/NHLS-UCT-GP-O585/2022,4/1/22,827,77
SouthAfrica/NHLS-UCT-GP-O595/2022,3/29/22,824,75
SouthAfrica/NHLS-UCT-GP-O603/2022,4/13/22,839,79
SouthAfrica/NHLS-UCT-GP-O604/2022,4/10/22,836,77
SouthAfrica/NHLS-UCT-GP-O606/2022,4/13/22,839,74
SouthAfrica/NHLS-UCT-GP-O610/2022,4/9/22,835,80
SouthAfrica/NHLS-UCT-GP-O611/2022,4/13/22,839,83
SouthAfrica/NHLS-UCT-GP-O612/2022,4/11/22,837,80
SouthAfrica/NHLS-UCT-GP-O613/2022,4/11/22,837,74
SouthAfrica/NHLS-UCT-GP-O614/2022,4/12/22,838,74
SouthAfrica/NHLS-UCT-GP-O615/2022,4/14/22,840,79
SouthAfrica/NHLS-UCT-GP-O784/2022,4/27/22,853,76
SouthAfrica/NHLS-UCT-GP-O785/2022,4/22/22,848,86
SouthAfrica/NHLS-UCT-GP-O786/2022,4/28/22,854,83
SouthAfrica/NHLS-UCT-GP-O793/2022,4/22/22,848,85
SouthAfrica/NHLS-UCT-GP-O794/2022,4/22/22,848,78
SouthAfrica/NHLS-UCT-GP-O798/2022,4/25/22,851,74
SouthAfrica/NHLS-UCT-GP-O803/2022,4/28/22,854,80
SouthAfrica/NHLS-UCT-GP-O804/2022,4/29/22,855,77
SouthAfrica/NHLS-UCT-GP-O806/2022,4/25/22,851,74
SouthAfrica/NHLS-UCT-GP-O808/2022,4/28/22,854,83
SouthAfrica/NHLS-UCT-GP-O809/2022,4/25/22,851,81
SouthAfrica/NHLS-UCT-GP-O810/2022,4/21/22,847,75
SouthAfrica/NHLS-UCT-GP-O811/2022,4/20/22,846,81
SouthAfrica/NHLS-UCT-GP-O812/2022,4/20/22,846,77
SouthAfrica/NHLS-UCT-GS-0047/2020,3/22/20,87,7
SouthAfrica/NHLS-UCT-GS-1002/2020,10/30/20,309,22
SouthAfrica/NHLS-UCT-GS-1387/2020,11/12/20,322,22
SouthAfrica/NHLS-UCT-GS-2134/2020,9/25/20,274,11
SouthAfrica/NHLS-UCT-GS-2931/2020,5/9/20,135,9
SouthAfrica/NHLS-UCT-GS-9661/2021,1/4/21,375,24
SouthAfrica/NHLS-UCT-GS-AG66/2022,1/6/22,742,56
SouthAfrica/NHLS-UCT-GS-AW89/2022,1/5/22,741,55
SouthAfrica/NHLS-UCT-GS-AX47/2022,1/18/22,754,58
SouthAfrica/NHLS-UCT-GS-AY17/2022,1/18/22,754,56
SouthAfrica/NHLS-UCT-GS-AY20/2022,1/18/22,754,58
SouthAfrica/NHLS-UCT-GS-AY43/2022,1/18/22,754,57
SouthAfrica/NHLS-UCT-GS-AY44/2022,1/18/22,754,55
SouthAfrica/NHLS-UCT-GS-AY91/2022,1/25/22,761,73
SouthAfrica/NHLS-UCT-GS-AY93/2022,1/25/22,761,74
SouthAfrica/NHLS-UCT-GS-AY97/2022,1/24/22,760,58
SouthAfrica/NHLS-UCT-GS-AY98/2022,1/26/22,762,55
SouthAfrica/NHLS-UCT-GS-AY99/2022,1/27/22,763,62
SouthAfrica/NHLS-UCT-GS-AZ08/2022,1/28/22,764,57
SouthAfrica/NHLS-UCT-GS-AZ10/2022,1/24/22,760,73
SouthAfrica/NHLS-UCT-GS-AZ12/2022,1/26/22,762,73
SouthAfrica/NHLS-UCT-GS-AZ17/2022,1/31/22,767,54
SouthAfrica/NHLS-UCT-GS-AZ22/2022,1/31/22,767,75
SouthAfrica/NHLS-UCT-GS-AZ24/2022,2/1/22,768,79
SouthAfrica/NHLS-UCT-GS-AZ25/2022,2/1/22,768,79
SouthAfrica/NHLS-UCT-GS-B226/2021,3/4/21,434,27
SouthAfrica/NHLS-UCT-GS-B540/2021,4/6/21,467,25
SouthAfrica/NHLS-UCT-GS-BD09/2022,2/15/22,782,73
SouthAfrica/NHLS-UCT-GS-BD17/2022,2/14/22,781,74
SouthAfrica/NHLS-UCT-GS-BD18/2022,2/18/22,785,78
SouthAfrica/NHLS-UCT-GS-BD19/2022,2/14/22,781,77
SouthAfrica/NHLS-UCT-GS-BD20/2022,2/16/22,783,74
SouthAfrica/NHLS-UCT-GS-BD34/2022,2/22/22,789,73
SouthAfrica/NHLS-UCT-GS-BD35/2022,2/22/22,789,76
SouthAfrica/NHLS-UCT-GS-BD36/2022,2/24/22,791,74
SouthAfrica/NHLS-UCT-GS-BD39/2022,2/21/22,788,79
SouthAfrica/NHLS-UCT-GS-BD43/2022,2/22/22,789,77
SouthAfrica/NHLS-UCT-GS-BD45/2022,2/25/22,792,75
SouthAfrica/NHLS-UCT-GS-BD47/2022,2/22/22,789,72
SouthAfrica/NHLS-UCT-GS-BD49/2022,2/21/22,788,54
SouthAfrica/NHLS-UCT-GS-BD50/2022,2/19/22,786,56
SouthAfrica/NHLS-UCT-GS-BG90/2022,3/1/22,796,76
SouthAfrica/NHLS-UCT-GS-BG94/2022,3/2/22,797,78
SouthAfrica/NHLS-UCT-GS-BH02/2022,2/3/22,770,54
SouthAfrica/NHLS-UCT-GS-BH07/2022,3/7/22,802,57
SouthAfrica/NHLS-UCT-GS-BH09/2022,3/10/22,805,76
SouthAfrica/NHLS-UCT-GS-BH15/2022,3/7/22,802,76
SouthAfrica/NHLS-UCT-GS-BH17/2022,3/10/22,805,74
SouthAfrica/NHLS-UCT-GS-BH28/2022,1/25/22,761,64
SouthAfrica/NHLS-UCT-GS-BH31/2022,3/15/22,810,77
SouthAfrica/NHLS-UCT-GS-BH32/2022,3/18/22,813,77
SouthAfrica/NHLS-UCT-GS-BH35/2022,3/15/22,810,78
SouthAfrica/NHLS-UCT-GS-BH43/2022,3/11/22,806,73
SouthAfrica/NHLS-UCT-GS-BH45/2022,3/14/22,809,83
SouthAfrica/NHLS-UCT-GS-BH55/2022,3/22/22,817,76
SouthAfrica/NHLS-UCT-GS-BH59/2022,3/23/22,818,59
SouthAfrica/NHLS-UCT-GS-BH66/2022,3/24/22,819,73
SouthAfrica/NHLS-UCT-GS-BH69/2022,3/22/22,817,76
SouthAfrica/NHLS-UCT-GS-BH70/2022,3/25/22,820,78
SouthAfrica/NHLS-UCT-GS-BH81/2022,3/27/22,822,76
SouthAfrica/NHLS-UCT-GS-BH84/2022,3/28/22,823,79
SouthAfrica/NHLS-UCT-GS-BH85/2022,3/31/22,826,74
SouthAfrica/NHLS-UCT-GS-BH86/2022,4/1/22,827,76
SouthAfrica/NHLS-UCT-GS-BH95/2022,3/31/22,826,74
SouthAfrica/NHLS-UCT-GS-BH96/2022,4/12/22,838,72
SouthAfrica/NHLS-UCT-GS-BH97/2022,4/11/22,837,80
SouthAfrica/NHLS-UCT-GS-BH98/2022,4/12/22,838,76
SouthAfrica/NHLS-UCT-GS-BI05/2022,4/13/22,839,81
SouthAfrica/NHLS-UCT-GS-BI08/2022,4/11/22,837,81
SouthAfrica/NHLS-UCT-GS-BI92/2022,4/26/22,852,78
SouthAfrica/NHLS-UCT-GS-BI96/2022,4/26/22,852,82
SouthAfrica/NHLS-UCT-GS-BJ02/2022,4/21/22,847,80
SouthAfrica/NHLS-UCT-GS-BJ03/2022,4/21/22,847,80
SouthAfrica/NHLS-UCT-GS-BJ06/2022,4/21/22,847,80
SouthAfrica/NHLS-UCT-GS-BJ07/2022,4/21/22,847,80
SouthAfrica/NHLS-UCT-GS-BJ10/2022,4/28/22,854,80
SouthAfrica/NHLS-UCT-GS-BJ11/2022,4/26/22,852,80
SouthAfrica/NHLS-UCT-GS-BJ13/2022,4/26/22,852,80
SouthAfrica/NHLS-UCT-GS-BJ15/2022,4/26/22,852,80
SouthAfrica/NHLS-UCT-GS-BJ22/2022,5/3/22,859,79
SouthAfrica/NHLS-UCT-GS-BJ24/2022,5/3/22,859,80
SouthAfrica/NHLS-UCT-GS-BJ25/2022,5/3/22,859,85
SouthAfrica/NHLS-UCT-GS-BJ26/2022,5/5/22,861,79
SouthAfrica/NHLS-UCT-GS-BJ27/2022,5/5/22,861,81
SouthAfrica/NHLS-UCT-GS-BJ28/2022,5/6/22,862,80
SouthAfrica/NHLS-UCT-GS-BJ29/2022,5/6/22,862,79
SouthAfrica/NHLS-UCT-GS-BJ30/2022,5/5/22,861,85
SouthAfrica/NHLS-UCT-GS-BJ31/2022,5/5/22,861,82
SouthAfrica/NHLS-UCT-GS-BJ32/2022,5/5/22,861,81
SouthAfrica/NHLS-UCT-GS-BJ33/2022,5/5/22,861,78
SouthAfrica/NHLS-UCT-GS-BJ34/2022,5/2/22,858,80
SouthAfrica/NHLS-UCT-GS-BJ35/2022,5/5/22,861,83
