strain,date,url,clade_membership,current_frequency,mutational_fitness,country,region,division,genbank_accession,host,pango_lineage,S1_mutations,epiweek,emerging_lineage,recency,author,accession,submitting_lab,originating_lab,logistic_growth
USA/MO-CDC-STM-V9W6JQK7G/2022,2022-07-01,,22B (Omicron),0.01,1.32,USA,North America,Missouri,ON990519,Homo sapiens,BE.1,27,202226,BA.5,3-7 days ago,Howard et al EK,,,,11.35
Switzerland/ZH-UZH-IMV-3ba65095/2022,2022-06-30,,22B (Omicron),0.01,1.29,Switzerland,Europe,Zürich,OX235083,Homo sapiens,BE.1,26,202226,BA.5,3-7 days ago,? BQ,,,,11.35
Switzerland/TI-EOC-676084/2022,2022-07-01,,22B (Omicron),0.01,1.3,Switzerland,Europe,Ticino,OX235115,Homo sapiens,BE.1.1,26,202226,BA.5,3-7 days ago,? BR,,,,11.35
OX232264,2022-06-26,,22B (Omicron),0,1.32,Denmark,Europe,Hovedstaden,OX232264,Homo sapiens,BE.1,27,202226,BA.5,3-7 days ago,Danish Covid-19 Genome et al,,,,11.35
USA/DE-CDC-STM-PTERK6NV3/2022,2022-07-01,,22B (Omicron),0.01,1.32,USA,North America,Delaware,ON990508,Homo sapiens,BE.1.1,27,202226,BA.5,3-7 days ago,Howard et al EL,,,,11.35
OX227347,2022-07-01,,22B (Omicron),0.01,1.33,Denmark,Europe,Hovedstaden,OX227347,Homo sapiens,BE.1,27,202226,BA.5,3-7 days ago,Danish Covid-19 Genome et al,,,,11.35
OX224352,2022-06-27,,22B (Omicron),0,1.29,Denmark,Europe,Syddanmark,OX224352,Homo sapiens,BE.1,28,202226,BA.5,3-7 days ago,Danish Covid-19 Genome et al,,,,11.35
USA/IN-CDC-STM-4JRJSES2X/2022,2022-06-30,,22B (Omicron),0.01,1.29,USA,North America,Indiana,ON974639,Homo sapiens,BE.1,27,202226,BA.5,3-7 days ago,Howard et al EM,,CDC-OAMD,'Helix',11.35
USA/HI-CDC-LC0754431/2022,2022-07-02,,22B (Omicron),0.01,1.37,USA,North America,Hawaii,ON979194,Homo sapiens,BA.5.5,28,202226,BA.5,3-7 days ago,Howard et al EN,,,,8.34
USA/OK-CDC-STM-P4FQPJVFX/2022,2022-07-05,,22B (Omicron),0.01,1.32,USA,North America,Oklahoma,ON991264,Homo sapiens,BA.5.5,29,202227,BA.5,3-7 days ago,Howard et al EO,,,,8.34
USA/OSPHL06365/2022,2022-07-05,,22B (Omicron),0.01,1.35,USA,North America,Oregon,ON995094,Homo sapiens,BA.5.5,28,202227,BA.5,3-7 days ago,Razzaque et al,,,,8.34
USA/MD-CDC-LC0727837/2022,2022-06-21,,22B (Omicron),0,1.35,USA,North America,Maryland,ON917522,Homo sapiens,BA.5.5,28,202225,BA.5,One week ago,Howard et al EP,,CDC-OAMD,Laboratory Corporation of America,8.34
USA/MT-CDC-LC0749010/2022,2022-06-24,,22B (Omicron),0,1.35,USA,North America,Montana,ON975197,Homo sapiens,BA.5.5,28,202225,BA.5,3-7 days ago,Howard et al EQ,,CDC-OAMD,Laboratory Corporation of America,8.34
USA/SD-CDC-2-6163345/2022,2022-06-15,,22B (Omicron),0,1.34,USA,North America,South Dakota,ON998336,Homo sapiens,BA.5.5,28,202224,BA.5,3-7 days ago,Sheth et al Y,,,,8.34
USA/AL-CDC-STM-W9BX7YEQT/2022,2022-06-24,,22B (Omicron),0,1.35,USA,North America,Alabama,ON957682,Homo sapiens,BA.5.5,28,202225,BA.5,3-7 days ago,Howard et al ER,,CDC-OAMD,'Helix',8.34
USA/MS-CDC-STM-MYB22AHWX/2022,2022-07-02,,22B (Omicron),0.01,1.34,USA,North America,Mississippi,ON990741,Homo sapiens,BA.5.5,28,202226,BA.5,3-7 days ago,Howard et al ES,,,,8.34
USA/ME-CDCBI-CRSP_6IRVSPIDU74KFKJQ/2022,2022-07-01,,22B (Omicron),0.01,1.35,USA,North America,Maine,ON972311,Homo sapiens,BA.5.5,28,202226,BA.5,3-7 days ago,Lemieux et al S,,Broad Institute Genomic Center for Infectious Diseases,Broad Institute Clinical Research Sequencing Platform,8.34
USA/OR-CDC-LC0724380/2022,2022-06-15,,22B (Omicron),0,1.35,USA,North America,Oregon,ON895519,Homo sapiens,BA.5.5,28,202224,BA.5,One month ago,Howard et al ET,,CDC-OAMD,Laboratory Corporation of America,8.34
USA/AK-CDC-LC0757353/2022,2022-07-01,,22B (Omicron),0.01,1.35,USA,North America,Alaska,OP000217,Homo sapiens,BA.5.5,28,202226,BA.5,1-2 days ago,Howard et al EU,,,,8.34
USA/OH-CDC-LC0756144/2022,2022-07-01,,22B (Omicron),0.01,1.35,USA,North America,Ohio,OP000298,Homo sapiens,BA.5.5,28,202226,BA.5,1-2 days ago,Howard et al EV,,,,8.34
USA/MN-MDH-25414/2022,2022-05-19,,22B (Omicron),0,1.35,USA,North America,Minnesota,ON661104,Homo sapiens,BA.5.5,28,202220,BA.5,Older,Garfin et al B,,,,8.34
OX233485,2022-07-04,,22B (Omicron),0.01,1.34,Denmark,Europe,Hovedstaden,OX233485,Homo sapiens,BA.5.1,27,202227,BA.5,3-7 days ago,Danish Covid-19 Genome et al,,,,8.34
OX177741,2022-06-08,,22B (Omicron),0,1.3,Slovakia,Europe,Slovakia,OX177741,Homo sapiens,BA.5.1,26,202223,BA.5,One week ago,? J,,"Laboratory of Genomics and Bioinformatics, Comenius University Science Park","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",8.34
OX177753,2022-06-08,,22B (Omicron),0,1.33,Slovakia,Europe,Slovakia,OX177753,Homo sapiens,BA.5.1,27,202223,BA.5,One week ago,? J,,"Laboratory of Genomics and Bioinformatics, Comenius University Science Park","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",8.34
OX177746,2022-06-07,,22B (Omicron),0,1.31,Slovakia,Europe,Slovakia,OX177746,Homo sapiens,BA.5.1,26,202223,BA.5,One week ago,? J,,"Laboratory of Genomics and Bioinformatics, Comenius University Science Park","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",8.34
OX229649,2022-07-05,,22B (Omicron),0.01,1.34,United Kingdom,Europe,England,OX229649,Homo sapiens,BA.5.1,27,202227,BA.5,3-7 days ago,Fraser et al,,,,8.34
FRA/IHUMI6145/2022,2022-05-13,,22B (Omicron),0,1.33,France,Europe,France,ON898599,Homo sapiens,BA.5.1,27,202219,BA.5,One month ago,Colson et al B,,,,
FRA/IHUMI-6145/2022,2022-05-13,,22B (Omicron),0,1.32,France,Europe,France,ON899815,Homo sapiens,BA.5.1,27,202219,BA.5,One month ago,Colson et al C,,,,
ITA/SARS-CoV-2humanITATUS-Siena-0435435/2022,2022-05-11,,22B (Omicron),,1.36,Italy,Europe,Italy,ON974846,Homo sapiens,BA.5.1,27,202219,BA.5,3-7 days ago,Gori Savellini et al A,,,,
USA/WV-CDC-STM-US64B6TR9/2022,2022-07-05,,22B (Omicron),0.01,1.33,USA,North America,West Virginia,ON991344,Homo sapiens,BA.5.1,27,202227,BA.5,3-7 days ago,Howard et al EW,,,,8.34
Switzerland/TG-ETHZ-676125/2022,2022-07-02,,22B (Omicron),0.01,1.3,Switzerland,Europe,Thurgau,OX234915,Homo sapiens,BA.5.1,26,202226,BA.5,3-7 days ago,? BS,,,,8.34
Switzerland/LU-ETHZ-676122/2022,2022-07-02,,22B (Omicron),0.01,1.3,Switzerland,Europe,Lucerne,OX235086,Homo sapiens,BA.5.1,27,202226,BA.5,3-7 days ago,? BT,,,,8.34
Switzerland/UN-ETHZ-676127/2022,2022-07-03,,22B (Omicron),0.01,1.3,Switzerland,Europe,Switzerland,OX235280,Homo sapiens,BA.5.1,26,202227,BA.5,1-2 days ago,? BU,,,,8.34
OX226144,2022-07-05,,22B (Omicron),0.01,1.34,Denmark,Europe,Midtjylland,OX226144,Homo sapiens,BA.5.1,27,202227,BA.5,3-7 days ago,Danish Covid-19 Genome et al,,,,8.34
USA/NM-CDC-STM-E22XU9B8X/2022,2022-07-01,,22B (Omicron),0.01,1.32,USA,North America,New Mexico,ON990340,Homo sapiens,BA.5.1.1,27,202226,BA.5,3-7 days ago,Howard et al EX,,,,8.34
USA/2218200000127-31-F1-1/2022,2022-07-01,,22B (Omicron),0.01,1.29,USA,North America,Arkansas,ON994304,Homo sapiens,BA.5.1.1,26,202226,BA.5,3-7 days ago,Yang et al,,,,8.34
Liechtenstein/FL-Risch-20220602R12027/2022,2022-06-02,,22B (Omicron),0,1.33,Liechtenstein,Europe,Liechtenstein,OX103616,Homo sapiens,BA.5.1,27,202222,BA.5,One month ago,? BV,,Dr. Risch,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",8.34
OX221945,2022-07-01,,22B (Omicron),0.01,1.33,United Kingdom,Europe,England,OX221945,Homo sapiens,BA.5.1,27,202226,BA.5,3-7 days ago,Fraser et al,,,,8.34
OX221993,2022-07-02,,22B (Omicron),0.01,1.33,Denmark,Europe,Hovedstaden,OX221993,Homo sapiens,BA.5.1,27,202226,BA.5,3-7 days ago,Danish Covid-19 Genome et al,,,,8.34
OX211916,2022-06-22,,22B (Omicron),0,1.33,Slovakia,Europe,Slovakia,OX211916,Homo sapiens,BA.5.1,27,202225,BA.5,3-7 days ago,? J,,,,8.34
OX232149,2022-07-04,,22B (Omicron),0.01,1.33,United Kingdom,Europe,England,OX232149,Homo sapiens,BA.5.1,27,202227,BA.5,3-7 days ago,Fraser et al,,,,8.34
OX219617,2022-06-18,,22B (Omicron),0,1.33,Denmark,Europe,Syddanmark,OX219617,Homo sapiens,BA.5.1,27,202224,BA.5,3-7 days ago,Danish Covid-19 Genome et al,,,,8.34
Switzerland/VS-ICH-2220629727/2022,2022-06-16,,22B (Omicron),0,1.33,Switzerland,Europe,Valais,OX234960,Homo sapiens,BA.5.1,27,202224,BA.5,3-7 days ago,? BW,,,,8.34
Switzerland/BE-IFIK-220620_os_22/2022,2022-06-02,,22B (Omicron),0,1.33,Switzerland,Europe,Bern,OX111406,Homo sapiens,BA.5.1,27,202222,BA.5,One week ago,? BX,,"Institute for Infectious Diseases, University of Bern, Switzerland","Institute for Infectious Diseases, University of Bern, Switzerland",8.34
BHR/22120198648/2022,2022-06-12,,22B (Omicron),0,1.35,Bahrain,Asia,Bahrain,ON935622,Homo sapiens,BA.5.1,27,202224,BA.5,One week ago,Marhoon et al C,,,,8.34
Switzerland/BS-UHB-mn4ll38/2022,2022-07-03,,22B (Omicron),0.01,1.33,Switzerland,Europe,Basel-Stadt,OX231170,Homo sapiens,BA.5.1,27,202227,BA.5,3-7 days ago,? BY,,,,8.34
Liechtenstein/FL-Risch-20220516R11631/2022,2022-05-16,,22B (Omicron),0,1.33,Liechtenstein,Europe,Liechtenstein,OX001680,Homo sapiens,BA.5.1,27,202220,BA.5,Older,? BZ,,Dr. Risch,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",8.34
Liechtenstein/FL-Risch-20220516R11780/2022,2022-05-16,,22B (Omicron),0,1.33,Liechtenstein,Europe,Liechtenstein,OX030833,Homo sapiens,BA.5.1,27,202220,BA.5,Older,? CA,,Dr. Risch,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",8.34
USA/NY-CDC-LC0742290/2022,2022-06-23,,22B (Omicron),0,1.38,USA,North America,New York,ON967194,Homo sapiens,BA.5.1,27,202225,BA.5,3-7 days ago,Howard et al EY,,CDC-OAMD,Laboratory Corporation of America,8.34
Liechtenstein/FL-Risch-20220606R11713/2022,2022-06-06,,22B (Omicron),0,1.35,Liechtenstein,Europe,Liechtenstein,OX051010,Homo sapiens,BA.5.1,27,202223,BA.5,Older,? CB,,Dr. Risch,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",8.34
Switzerland/BS-UHB-vx9pdl8/2022,2022-07-02,,22B (Omicron),0.01,1.33,Switzerland,Europe,Basel-Stadt,OX232765,Homo sapiens,BA.5.1,27,202226,BA.5,3-7 days ago,? CC,,,,8.34
OX231638,2022-07-04,,22B (Omicron),0.01,1.34,United Kingdom,Europe,England,OX231638,Homo sapiens,BA.5.1,28,202227,BA.5,3-7 days ago,Fraser et al,,,,8.34
USA/TX-CDC-STM-586A8KFKH/2022,2022-07-05,,22B (Omicron),0.01,1.35,USA,North America,Texas,ON991412,Homo sapiens,BA.5.1,27,202227,BA.5,3-7 days ago,Howard et al EZ,,,,8.34
OX217971,2022-06-13,,22B (Omicron),0,1.33,Denmark,Europe,Nordjylland,OX217971,Homo sapiens,BA.5.1,27,202224,BA.5,3-7 days ago,Danish Covid-19 Genome et al,,,,8.34
Switzerland/BS-UHB-48r23dy/2022,2022-06-22,,22B (Omicron),0,1.33,Switzerland,Europe,Basel-Stadt,OX166568,Homo sapiens,BA.5.1,27,202225,BA.5,One week ago,? CD,,,,8.34
Switzerland/GE-HUG-38291519/2022,2022-06-08,,22B (Omicron),0,1.36,Switzerland,Europe,Geneva,OX122815,Homo sapiens,BA.5.1,27,202223,BA.5,One week ago,? CE,,HUG,"Laboratoire de virologie, Geneva, Switzerland",8.34
USA/WI-CDC-QDX38155185/2022,2022-06-17,,22B (Omicron),0,1.35,USA,North America,Wisconsin,ON945797,Homo sapiens,BA.5.1,27,202224,BA.5,One week ago,Howard et al FA,,CDC-OAMD,Quest Diagnostics Incorporated,8.34
OX226718,2022-07-01,,22B (Omicron),0.01,1.33,Denmark,Europe,Hovedstaden,OX226718,Homo sapiens,BA.5.1,27,202226,BA.5,3-7 days ago,Danish Covid-19 Genome et al,,,,8.34
Switzerland/BS-UHB-dxyprko/2022,2022-07-02,,22B (Omicron),0.01,1.33,Switzerland,Europe,Basel-Stadt,OX231228,Homo sapiens,BA.5.1,27,202226,BA.5,3-7 days ago,? CF,,,,8.34
OX232632,2022-07-03,,22B (Omicron),0.01,1.33,United Kingdom,Europe,England,OX232632,Homo sapiens,BA.5.1,27,202227,BA.5,3-7 days ago,Fraser et al,,,,8.34
OX126124,2022-06-02,,22B (Omicron),0,1.35,United Kingdom,Europe,Scotland,OX126124,Homo sapiens,BA.5.1,27,202222,BA.5,One week ago,? A,,"West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research","West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research",8.34
OX179571,2022-06-11,,22B (Omicron),0,1.38,United Kingdom,Europe,Scotland,OX179571,Homo sapiens,BA.5.1,27,202223,BA.5,One week ago,? A,,"West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research","West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research",8.34
OX178710,2022-06-12,,22B (Omicron),0,1.33,United Kingdom,Europe,Scotland,OX178710,Homo sapiens,BA.5.1,27,202224,BA.5,One week ago,? A,,"West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research","West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research",8.34
USA/CT-CDC-LC0714681/2022,2022-06-16,,22B (Omicron),0,1.33,USA,North America,Connecticut,ON885111,Homo sapiens,BA.5.1,27,202224,BA.5,One month ago,Howard et al FB,,CDC-OAMD,Laboratory Corporation of America,8.34
OX148124,2022-06-13,,22B (Omicron),0,1.33,United Kingdom,Europe,Scotland,OX148124,Homo sapiens,BA.5.1,27,202224,BA.5,One week ago,? A,,"West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research","West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research",8.34
OX231769,2022-07-03,,22B (Omicron),0.01,1.33,United Kingdom,Europe,England,OX231769,Homo sapiens,BA.5.1,27,202227,BA.5,3-7 days ago,Fraser et al,,,,8.34
SouthAfrica/NHLS-UCT-GS-BJ38/2022,2022-05-05,,22B (Omicron),,1.33,South Africa,Africa,Northern Cape,ON647640,Homo sapiens,BA.5,27,202218,BA.5,Older,Viana et al U,,University of Cape Town and National Health Laboratory Service,Hillside Clinic wc HIC,
SouthAfrica/NHLS-UCT-GS-BJ45/2022,2022-05-05,,22B (Omicron),,1.33,South Africa,Africa,Western Cape Province,ON647647,Homo sapiens,BA.5,27,202218,BA.5,Older,Viana et al V,,University of Cape Town and National Health Laboratory Service,Study: SA Covid-19 POC (MRC),
SouthAfrica/NHLS-UCT-GS-BJ46/2022,2022-05-05,,22B (Omicron),,1.33,South Africa,Africa,Western Cape Province,ON647648,Homo sapiens,BA.5,27,202218,BA.5,Older,Viana et al W,,University of Cape Town and National Health Laboratory Service,Study: SA Covid-19 POC (MRC),
OX212709,2022-06-24,,22B (Omicron),0,1.34,Slovakia,Europe,Slovakia,OX212709,Homo sapiens,BA.5.2.1,26,202225,BA.5,3-7 days ago,? J,,,,5.43
OX226423,2022-07-03,,22B (Omicron),0.01,1.36,Denmark,Europe,Midtjylland,OX226423,Homo sapiens,BA.5.2,27,202227,BA.5,3-7 days ago,Danish Covid-19 Genome et al,,,,5.43
Switzerland/SG-ETHZ-676111/2022,2022-07-02,,22B (Omicron),0.01,1.37,Switzerland,Europe,Sankt Gallen,OX235089,Homo sapiens,BA.5.2,26,202226,BA.5,3-7 days ago,? CG,,,,5.43
USA/IL-CDC-STM-X7BD3CH69/2022,2022-07-03,,22B (Omicron),0.01,1.37,USA,North America,Illinois,ON991098,Homo sapiens,BA.5.2,27,202227,BA.5,3-7 days ago,Howard et al FC,,,,5.43
KEN/SS9400/2022,2022-06-14,,22B (Omicron),0,1.34,Kenya,Africa,Kenya,ON965631,Homo sapiens,BA.5.2,27,202224,BA.5,3-7 days ago,Githinji et al CT,,,,5.43
KEN/SS9040/2022,2022-06-14,,22B (Omicron),0,1.36,Kenya,Africa,Kenya,ON872123,Homo sapiens,BA.5.2,27,202224,BA.5,One month ago,Githinji et al CU,,,,5.43
OX179501,2022-06-15,,22B (Omicron),0,1.33,United Kingdom,Europe,Scotland,OX179501,Homo sapiens,BA.5.2,27,202224,BA.5,One week ago,? A,,"West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research","West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research",5.43
Liechtenstein/FL-Risch-20220606R11718/2022,2022-06-06,,22B (Omicron),0,1.34,Liechtenstein,Europe,Liechtenstein,OX050983,Homo sapiens,BA.5.2,27,202223,BA.5,Older,? CH,,Dr. Risch,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",5.43
Switzerland/VD-CHUV-GEN12163/2022,2022-06-15,,22B (Omicron),0,1.33,Switzerland,Europe,Vaud,OX113692,Homo sapiens,BA.5.2,27,202224,BA.5,One week ago,? CI,,"laboratory of genomics and metagenomics, institute of microbiology, university hospital centre and university of lausanne, switzerland","CHUV, CH-1011 Lausanne, Switzerland",5.43
BHR/22970259554/2022,2022-06-27,,22B (Omicron),0,1.36,Bahrain,Asia,Bahrain,ON935623,Homo sapiens,BA.5.2,28,202226,BA.5,One week ago,Marhoon et al D,,,,5.43
USA/PR-CDC-LC0727438/2022,2022-06-16,,22B (Omicron),0,1.39,USA,North America,Puerto Rico,ON916572,Homo sapiens,BA.5.2,27,202224,BA.5,One week ago,Howard et al FD,,CDC-OAMD,Laboratory Corporation of America,5.43
BHR/22020374947/2022,2022-07-02,,22B (Omicron),0.01,1.37,Bahrain,Asia,Bahrain,ON935691,Homo sapiens,BA.5.2,27,202226,BA.5,One week ago,Marhoon et al E,,,,5.43
HOMOSPIENS/BHR/22350041427/2022,2022-06-05,,22B (Omicron),0,1.37,Bahrain,Asia,Bahrain,ON848971,Homo sapiens,BA.5.2,27,202223,BA.5,One month ago,Marhoon et al F,,,,5.43
BHR/22020374721/2022,2022-07-02,,22B (Omicron),0.01,1.37,Bahrain,Asia,Bahrain,ON935710,Homo sapiens,BA.5.2,27,202226,BA.5,One week ago,Marhoon et al G,,,,5.43
USA/DE-CDC-STM-U4JE7VVT9/2022,2022-06-14,,22B (Omicron),0,1.37,USA,North America,Delaware,ON853382,Homo sapiens,BA.5.2,27,202224,BA.5,One month ago,Howard et al FE,,CDC-OAMD,'Helix',5.43
BHR/22020375912/2022,2022-07-03,,22B (Omicron),0.01,1.37,Bahrain,Asia,Bahrain,ON935696,Homo sapiens,BA.5.2,27,202227,BA.5,One week ago,Marhoon et al H,,,,5.43
OX221553,2022-07-03,,22B (Omicron),0.01,1.37,Denmark,Europe,Syddanmark,OX221553,Homo sapiens,BA.5.2,27,202227,BA.5,3-7 days ago,Danish Covid-19 Genome et al,,,,5.43
USA/MN-MDH-27459/2022,2022-06-21,,22B (Omicron),0,1.37,USA,North America,Minnesota,ON995553,Homo sapiens,BA.5.2,27,202225,BA.5,3-7 days ago,Garfin et al C,,,,5.43
BHR/22020374932/2022,2022-07-02,,22B (Omicron),0.01,1.37,Bahrain,Asia,Bahrain,ON935656,Homo sapiens,BA.5.2,27,202226,BA.5,One week ago,Marhoon et al I,,,,5.43
USA/SC-CDC-STM-KC9YEQD8Z/2022,2022-07-02,,22B (Omicron),0.01,1.39,USA,North America,South Carolina,ON990727,Homo sapiens,BA.5.2,28,202226,BA.5,3-7 days ago,Howard et al FF,,,,5.43
HOMOSPIENS/BHR/22690057019/2022,2022-06-02,,22B (Omicron),0,1.37,Bahrain,Asia,Bahrain,ON848999,Homo sapiens,BA.5.2,27,202222,BA.5,One month ago,Marhoon et al J,,,,5.43
BHR/22530030550_S95_L001/2022,2022-05-08,,22B (Omicron),,1.37,Bahrain,Asia,Bahrain,ON606146,Homo sapiens,BA.5.2,27,202219,BA.5,Older,Marhoon et al K,,,,
BHR/22920320972_S81_L001/2022,2022-05-08,,22B (Omicron),,1.37,Bahrain,Asia,Bahrain,ON606172,Homo sapiens,BA.5.2,27,202219,BA.5,Older,Marhoon et al L,,,,
Liechtenstein/FL-Risch-20220519R11766/2022,2022-05-19,,22B (Omicron),0,1.37,Liechtenstein,Europe,Liechtenstein,OX030843,Homo sapiens,BA.5.2,27,202220,BA.5,Older,? CJ,,Dr. Risch,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",5.43
BHR/22020374732/2022,2022-07-02,,22B (Omicron),0.01,1.34,Bahrain,Asia,Bahrain,ON935646,Homo sapiens,BA.5.2,26,202226,BA.5,One week ago,Marhoon et al M,,,,5.43
BHR/22020375180/2022,2022-07-02,,22B (Omicron),0.01,1.37,Bahrain,Asia,Bahrain,ON935667,Homo sapiens,BA.5.2,27,202226,BA.5,One week ago,Marhoon et al N,,,,5.43
BHR/22920386019/2022,2022-06-29,,22B (Omicron),0.01,1.37,Bahrain,Asia,Bahrain,ON935639,Homo sapiens,BA.5.2,28,202226,BA.5,One week ago,Marhoon et al O,,,,5.43
OX221712,2022-06-30,,22B (Omicron),0.01,1.37,United Kingdom,Europe,England,OX221712,Homo sapiens,BA.5.2,27,202226,BA.5,3-7 days ago,Fraser et al,,,,5.43
OX226325,2022-07-02,,22B (Omicron),0.01,1.37,Denmark,Europe,Midtjylland,OX226325,Homo sapiens,BA.5.2,28,202226,BA.5,3-7 days ago,Danish Covid-19 Genome et al,,,,5.43
ON929963,2022-06-14,,22B (Omicron),0,1.35,Pakistan,Asia,Sindh,ON929963,Homo sapiens,BA.5.2,27,202224,BA.5,One week ago,Nisar et al J,,,,5.43
ON929964,2022-06-14,,22B (Omicron),0,1.35,Pakistan,Asia,Sindh,ON929964,Homo sapiens,BA.5.2,27,202224,BA.5,One week ago,Nisar et al K,,,,5.43
ON929956,2022-06-14,,22B (Omicron),0,1.35,Pakistan,Asia,Sindh,ON929956,Homo sapiens,BA.5.2,27,202224,BA.5,One week ago,Nisar et al L,,,,5.43
BHR/22020374937/2022,2022-07-02,,22B (Omicron),0.01,1.38,Bahrain,Asia,Bahrain,ON935649,Homo sapiens,BA.5.2,27,202226,BA.5,One week ago,Marhoon et al P,,,,5.43
BHR/22020375778/2022,2022-07-03,,22B (Omicron),0.01,1.38,Bahrain,Asia,Bahrain,ON935624,Homo sapiens,BA.5.2,27,202227,BA.5,One week ago,Marhoon et al Q,,,,5.43
KEN/SS9448/2022,2022-06-19,,22B (Omicron),0,1.37,Kenya,Africa,Kenya,ON965666,Homo sapiens,BA.5.2,27,202225,BA.5,3-7 days ago,Githinji et al CV,,,,5.43
BHR/22020369558/2022,2022-06-29,,22B (Omicron),0.01,1.35,Bahrain,Asia,Bahrain,ON935701,Homo sapiens,BA.5.2,26,202226,BA.5,One week ago,Marhoon et al R,,,,5.43
USA/CA-CDC-LC0752085/2022,2022-07-02,,22B (Omicron),0.01,1.37,USA,North America,California,ON979228,Homo sapiens,BA.5.2,27,202226,BA.5,3-7 days ago,Howard et al FG,,,,5.43
KEN/SS9403/2022,2022-06-15,,22B (Omicron),0,1.38,Kenya,Africa,Kenya,ON965634,Homo sapiens,BA.5.2,27,202224,BA.5,3-7 days ago,Githinji et al CW,,,,5.43
BHR/22120196417_S45_L001/2022,2022-05-14,,22B (Omicron),0,1.37,Bahrain,Asia,Bahrain,ON627415,Homo sapiens,BA.5.2,27,202219,BA.5,Older,Marhoon et al S,,,,
KEN/C117913/2022,2022-06-22,,22B (Omicron),0,1.37,Kenya,Africa,Kenya,ON965744,Homo sapiens,BA.5.2,27,202225,BA.5,3-7 days ago,Githinji et al CX,,,,5.43
OX231019,2022-07-01,,22B (Omicron),0.01,1.37,United Kingdom,Europe,England,OX231019,Homo sapiens,BA.5.2,27,202226,BA.5,3-7 days ago,Fraser et al,,,,5.43
BHR/22020375643/2022,2022-07-03,,22B (Omicron),0.01,1.44,Bahrain,Asia,Bahrain,ON935675,Homo sapiens,BA.5.2,27,202227,BA.5,One week ago,Marhoon et al T,,,,5.43
USA/KY-CDC-LC0757176/2022,2022-07-03,,22B (Omicron),0.01,1.37,USA,North America,Kentucky,OP000543,Homo sapiens,BA.5.2,27,202227,BA.5,1-2 days ago,Howard et al FH,,,,5.43
BHR/22020374845/2022,2022-07-02,,22B (Omicron),0.01,1.37,Bahrain,Asia,Bahrain,ON935643,Homo sapiens,BA.5.2,27,202226,BA.5,One week ago,Marhoon et al U,,,,5.43
Switzerland/VD-CHUV-GEN12203/2022,2022-06-20,,22B (Omicron),0,1.37,Switzerland,Europe,Vaud,OX206617,Homo sapiens,BA.5.2,27,202225,BA.5,3-7 days ago,? CK,,"laboratory of genomics and metagenomics, institute of microbiology, university hospital centre and university of lausanne, switzerland","EHNV, CH-1400 Yverdon, Switzerland",5.43
OX225463,2022-06-30,,22B (Omicron),0.01,1.37,United Kingdom,Europe,England,OX225463,Homo sapiens,BA.5.2,27,202226,BA.5,3-7 days ago,Fraser et al,,,,5.43
OX101624,2022-05-30,,22B (Omicron),0,1.36,United Kingdom,Europe,Scotland,OX101624,Homo sapiens,BA.5.2.1,28,202222,BA.5,One month ago,? A,,"West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research","West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research",1.06
SouthAfrica/NHLS-UCT-GP-O612/2022,2022-04-11,,22B (Omicron),,1.37,South Africa,Africa,Western Cape Province,ON647505,Homo sapiens,BA.5.2.1,27,202215,BA.5,Older,Viana et al X,,University of Cape Town and National Health Laboratory Service,New Somerset Hospital wc NSH,
USA/FL-CDC-STM-U6RU7P2MU/2022,2022-07-01,,22B (Omicron),0.01,1.37,USA,North America,Florida,ON990449,Homo sapiens,BA.5.2.1,27,202226,BA.5,3-7 days ago,Howard et al FI,,,,1.06
OX227365,2022-07-02,,22B (Omicron),0.01,1.36,Denmark,Europe,Hovedstaden,OX227365,Homo sapiens,BA.5.2.1,27,202226,BA.5,3-7 days ago,Danish Covid-19 Genome et al,,,,1.06
